"Disease_Class","OR","CI_lower","CI_upper","p_value_BH","Significant"
"Infections (C01)",1.46343831378015,1.14076271372466,1.87738578099829,0.0036983073864264,TRUE
"Neoplasms (C04)",1.51463508812582,1.35386323567035,1.69449866850546,1.893655502939e-12,TRUE
"Musculoskeletal Diseases (C05)",1.50878745187514,1.29276511984733,1.76090732955783,4.18246777739476e-07,TRUE
"Digestive System Diseases (C06)",1.64623558510758,1.43489925866475,1.88869816839712,4.4167106331775e-12,TRUE
"Stomatognathic Diseases (C07)",1.20011300560213,0.909906545534943,1.58287819038451,0.215242789900033,FALSE
"Respiratory Tract Diseases (C08)",1.37897182263835,1.15755914645901,1.64273531373964,0.000460231258541746,TRUE
"Otorhinolaryngologic Diseases (C09)",0.991169692511492,0.760551698193179,1.29171673889787,0.990740903235906,FALSE
"Nervous System Diseases (C10)",1.55277250204241,1.38724819877933,1.73804690841959,1.14304067430374e-13,TRUE
"Eye Diseases (C11)",1.22326837792172,1.02571033079044,1.45887730629572,0.0318593076134794,TRUE
"Urogenital Diseases (C12)",1.38613709080882,1.21073526453261,1.58694975755716,4.68882619145116e-06,TRUE
"Cardiovascular Diseases (C14)",1.39677100835973,1.20126571681235,1.62409467155302,2.30359636414327e-05,TRUE
"Hemic and Lymphatic Diseases (C15)",1.51984041175251,1.2663551647275,1.82406558723445,1.22193156322721e-05,TRUE
"Congenital and Hereditary Disorders (C16)",1.58974543683323,1.42993924095703,1.76741114695238,2.25372354887958e-16,TRUE
"Skin and Connective Tissue Diseases (C17)",1.54774750847329,1.345144254985,1.78086650640454,3.0106513655426e-09,TRUE
"Nutritional and Metabolic Diseases (C18)",1.72476049828471,1.50988756139353,1.97021212208529,1.12523301274088e-14,TRUE
"Endocrine System Diseases (C19)",1.38297396332854,1.16933722958355,1.63564191309107,0.000233595938065617,TRUE
"Immune System Diseases (C20)",1.50251054896325,1.26659435722259,1.78236855144074,5.72188804805481e-06,TRUE
"Pathological Conditions, Signs and Symptoms (C23)",1.58266247479578,1.40750446885636,1.77961815720696,1.14304067430374e-13,TRUE
"Chemically-Induced Disorders (C25)",1.2669317030509,0.987810367898568,1.62492315565599,0.075548828818341,FALSE
"Behavior and Behavior Mechanisms (F01)",1.73766987924239,1.43372875379641,2.10604453682808,4.53532179971648e-08,TRUE
"Psychological Phenomena (F02)",0.583356955828392,0.286826232395034,1.1864512358991,0.157276609409062,FALSE
"Mental Disorders (F03)",1.50197205445837,1.32772169456311,1.69909105320163,3.32055623753369e-10,TRUE
