"metric","OR","CI_Lower","CI_Upper","p_value_corrected_BH","Significant"
"min_C_prot_depth_right",1.53328997590901,1.30505195421269,1.80156156409289,1.72160437290767e-06,TRUE
"Gmax",1.35064745827437,1.17693624309018,1.55134007488393,5.61215537479165e-05,TRUE
"min_C_thread_depth_right",1.34141978349957,1.1873570758982,1.51576361278029,1.02420789804155e-05,TRUE
"Travatos_G",1.29033436955542,1.15291865972198,1.44480351216581,3.22808849989279e-05,TRUE
"Gc",1.26310842785029,1.13030818427816,1.4120572229787,7.3230119272886e-05,TRUE
"Gn",1.1870405834418,1.05680026384206,1.33385639644442,0.00508024617364041,TRUE
"Gsum",1.17628513234817,1.07113538887906,1.2922534607864,0.00107205754307279,TRUE
"min_N_thread_depth_left",1.10609373578167,0.969793155784493,1.26167953969529,0.150713895542588,FALSE
"N_term_thread",1.0882198089829,1.04222461031908,1.13666318603349,0.000225144510176054,TRUE
"C_term_thread",1.04785169509027,1.00568162313723,1.09212363522821,0.0318475956482512,TRUE
"ENT.ID",1.03709618279347,1.01969353777915,1.05491315644771,6.32327364485771e-05,TRUE
"num_cross_nearest_neighbors",1.0047229934087,1.00178127170536,1.00768468925334,0.00235925471574953,TRUE
"num_loop_contacting_res",1.00419434351624,1.00274399584044,1.00565258779969,2.49299312797057e-07,TRUE
"num_zipper_nc",1.00320517951502,1.00191335973193,1.00451948607574,7.66970735407931e-06,TRUE
"min_C_thread_slippage_right",1.00033761063907,1.00018135575444,1.00050263862771,7.3230119272886e-05,TRUE
"min_N_thread_slippage_left",0.999985049580398,0.99975675323396,1.0002122917127,0.897615361157368,FALSE
"min_N_prot_depth_left",0.986317319458979,0.841643318660573,1.15571645123236,0.897615361157368,FALSE
