"Package","Version"
"tools","4.2.1"
"grid","4.2.1"
"stats","4.2.1"
"graphics","4.2.1"
"grDevices","4.2.1"
"utils","4.2.1"
"datasets","4.2.1"
"methods","4.2.1"
"base","4.2.1"
"data.table","1.14.2"
"lawstat","3.6"
"readxl","1.4.5"
"MatchIt","4.7.2"
"gridExtra","2.3"
"iml","0.11.4"
"randomForest","4.7.1.2"
"grf","2.6.1"
"rlang","1.1.7"
"svglite","2.1.1"
"ggplot2","3.4.2"
"detectseparation","0.3"
"broom","1.0.0"
"stringr","1.6.0"
"readr","2.1.2"
"tidyr","1.3.2"
"dplyr","1.2.0"
"bit64","4.6.0.1"
"vroom","1.7.0"
"Rdpack","2.6.6"
"Formula","1.2.5"
"ROI.plugin.lpsolve","1.0.2"
"cellranger","1.1.0"
"yaml","2.3.12"
"slam","0.1.55"
"globals","0.19.1"
"numDeriv","2016.8.1.1"
"pillar","1.11.1"
"backports","1.5.0"
"lattice","0.22.9"
"glue","1.8.0"
"digest","0.6.39"
"rbibutils","2.4.1"
"RColorBrewer","1.1.3"
"checkmate","2.3.4"
"htmltools","0.5.9"
"Matrix","1.6.5"
"pkgconfig","2.0.3"
"listenv","0.10.1"
"mvtnorm","1.3.6"
"purrr","1.2.1"
"scales","1.4.0"
"tzdb","0.5.0"
"tibble","3.3.1"
"generics","0.1.4"
"farver","2.1.2"
"ellipsis","0.3.2"
"withr","3.0.2"
"cli","3.6.5"
"magrittr","2.0.4"
"crayon","1.5.3"
"evaluate","1.0.5"
"Kendall","2.2.2"
"future","1.70.0"
"parallelly","1.46.1"
"MASS","7.3.59"
"textshaping","1.0.5"
"registry","0.5.1"
"hms","1.1.4"
"lifecycle","1.0.5"
"ROI","1.0.2"
"compiler","4.2.1"
"chk","0.10.0"
"systemfonts","1.3.2"
"rstudioapi","0.18.0"
"labeling","0.4.3"
"rmarkdown","2.30"
"boot","1.3.32"
"gtable","0.3.6"
"codetools","0.2.20"
"Metrics","0.1.4"
"R6","2.6.1"
"lpSolveAPI","5.5.2.0.17.15"
"knitr","1.51"
"utf8","1.2.6"
"fastmap","1.2.0"
"bit","4.6.0"
"ragg","1.5.1"
"otel","0.2.0"
"stringi","1.8.7"
"parallel","4.2.1"
"Rcpp","1.1.1"
"vctrs","0.7.2"
"tidyselect","1.2.1"
"xfun","0.56"
